"company_id","company_name","msa","year_month","avg_salary"
2,"Meta","San Francisco CA","2018-01",110000.0
1,"Apple","New York NY","2018-02",85000.0
1,"Apple","San Francisco CA","2018-02",80000.0
1,"Apple","Seattle WA","2018-02",83333.33
2,"Meta","New York NY","2018-02",50000.0
2,"Meta","San Francisco CA","2018-02",82500.0
2,"Meta","Seattle WA","2018-02",72000.0
4,"Amazon","Seattle WA","2018-02",103333.33
4,"Amazon","New York NY","2018-02",180000.0
1,"Apple","San Francisco CA","2018-03",102857.14
1,"Apple","Seattle WA","2018-03",83333.33
1,"Apple","New York NY","2018-03",98333.33
2,"Meta","San Francisco CA","2018-03",109000.0
2,"Meta","Seattle WA","2018-03",68571.43
2,"Meta","New York NY","2018-03",93333.33
4,"Amazon","Seattle WA","2018-03",103333.33
4,"Amazon","New York NY","2018-03",120000.0
4,"Amazon","San Francisco CA","2018-03",86666.67
1,"Apple","New York NY","2018-04",94285.71
1,"Apple","Seattle WA","2018-04",84285.71
1,"Apple","San Francisco CA","2018-04",97000.0
2,"Meta","New York NY","2018-04",85000.0
2,"Meta","Seattle WA","2018-04",70000.0
2,"Meta","San Francisco CA","2018-04",120833.33
4,"Amazon","San Francisco CA","2018-04",98000.0
4,"Amazon","New York NY","2018-04",136000.0
4,"Amazon","Seattle WA","2018-04",81666.67
1,"Apple","Seattle WA","2018-05",80000.0
1,"Apple","New York NY","2018-05",91250.0
1,"Apple","San Francisco CA","2018-05",106923.08
2,"Meta","New York NY","2018-05",91000.0
2,"Meta","Seattle WA","2018-05",79000.0
2,"Meta","San Francisco CA","2018-05",115333.33
4,"Amazon","Seattle WA","2018-05",89000.0
4,"Amazon","San Francisco CA","2018-05",94444.44
4,"Amazon","New York NY","2018-05",136000.0
1,"Apple","Seattle WA","2018-06",79230.77
1,"Apple","San Francisco CA","2018-06",103333.33
1,"Apple","New York NY","2018-06",96363.64
2,"Meta","Seattle WA","2018-06",83571.43
2,"Meta","New York NY","2018-06",95000.0
2,"Meta","San Francisco CA","2018-06",108421.05
4,"Amazon","New York NY","2018-06",148571.43
4,"Amazon","San Francisco CA","2018-06",97000.0
4,"Amazon","Seattle WA","2018-06",88181.82
1,"Apple","San Francisco CA","2018-07",99411.76
1,"Apple","Seattle WA","2018-07",79333.33
1,"Apple","New York NY","2018-07",94166.67
2,"Meta","San Francisco CA","2018-07",105714.29
2,"Meta","Seattle WA","2018-07",87368.42
2,"Meta","New York NY","2018-07",88571.43
4,"Amazon","New York NY","2018-07",134000.0
4,"Amazon","San Francisco CA","2018-07",92142.86
4,"Amazon","Seattle WA","2018-07",92142.86
1,"Apple","New York NY","2018-08",90714.29
1,"Apple","San Francisco CA","2018-08",95454.55
1,"Apple","Seattle WA","2018-08",79333.33
2,"Meta","Seattle WA","2018-08",86190.48
2,"Meta","San Francisco CA","2018-08",109565.22
2,"Meta","New York NY","2018-08",92500.0
4,"Amazon","San Francisco CA","2018-08",94117.65
4,"Amazon","Seattle WA","2018-08",90666.67
4,"Amazon","New York NY","2018-08",127692.31
1,"Apple","San Francisco CA","2018-09",92142.86
1,"Apple","New York NY","2018-09",97894.74
1,"Apple","Seattle WA","2018-09",78750.0
2,"Meta","San Francisco CA","2018-09",107600.0
2,"Meta","New York NY","2018-09",87000.0
2,"Meta","Seattle WA","2018-09",85000.0
4,"Amazon","Seattle WA","2018-09",88125.0
4,"Amazon","San Francisco CA","2018-09",97272.73
4,"Amazon","New York NY","2018-09",122142.86
1,"Apple","New York NY","2018-10",95714.29
1,"Apple","Seattle WA","2018-10",78888.89
1,"Apple","San Francisco CA","2018-10",90937.5
2,"Meta","New York NY","2018-10",90909.09
2,"Meta","San Francisco CA","2018-10",106666.67
2,"Meta","Seattle WA","2018-10",85000.0
4,"Amazon","New York NY","2018-10",115625.0
4,"Amazon","San Francisco CA","2018-10",100400.0
4,"Amazon","Seattle WA","2018-10",94000.0
1,"Apple","New York NY","2018-11",92000.0
1,"Apple","San Francisco CA","2018-11",90937.5
1,"Apple","Seattle WA","2018-11",75909.09
2,"Meta","New York NY","2018-11",90909.09
2,"Meta","San Francisco CA","2018-11",106666.67
2,"Meta","Seattle WA","2018-11",82692.31
4,"Amazon","New York NY","2018-11",106842.11
4,"Amazon","Seattle WA","2018-11",91818.18
4,"Amazon","San Francisco CA","2018-11",99615.38
1,"Apple","San Francisco CA","2018-12",90571.43
1,"Apple","New York NY","2018-12",92692.31
1,"Apple","Seattle WA","2018-12",74782.61
2,"Meta","San Francisco CA","2018-12",102580.65
2,"Meta","New York NY","2018-12",89130.43
2,"Meta","Seattle WA","2018-12",81428.57
4,"Amazon","San Francisco CA","2018-12",98148.15
4,"Amazon","New York NY","2018-12",105000.0
4,"Amazon","Seattle WA","2018-12",92000.0
1,"Apple","Seattle WA","2019-01",74256.0
1,"Apple","New York NY","2019-01",94546.15
1,"Apple","San Francisco CA","2019-01",94153.85
2,"Meta","New York NY","2019-01",93910.34
2,"Meta","Seattle WA","2019-01",79436.36
2,"Meta","San Francisco CA","2019-01",105400.0
4,"Amazon","Seattle WA","2019-01",96711.11
4,"Amazon","San Francisco CA","2019-01",98834.48
4,"Amazon","New York NY","2019-01",108954.55
1,"Apple","San Francisco CA","2019-02",97024.39
1,"Apple","New York NY","2019-02",93257.14
1,"Apple","Seattle WA","2019-02",74314.29
2,"Meta","San Francisco CA","2019-02",102275.68
2,"Meta","New York NY","2019-02",98493.75
2,"Meta","Seattle WA","2019-02",78600.0
4,"Amazon","New York NY","2019-02",101622.22
4,"Amazon","Seattle WA","2019-02",99814.29
4,"Amazon","San Francisco CA","2019-02",98290.91
1,"Apple","Seattle WA","2019-03",77379.31
1,"Apple","New York NY","2019-03",92503.45
1,"Apple","San Francisco CA","2019-03",101051.16
2,"Meta","San Francisco CA","2019-03",102237.21
2,"Meta","New York NY","2019-03",94422.86
2,"Meta","Seattle WA","2019-03",81600.0
4,"Amazon","Seattle WA","2019-03",99814.29
4,"Amazon","San Francisco CA","2019-03",96486.49
4,"Amazon","New York NY","2019-03",107275.86
1,"Apple","New York NY","2019-04",92109.09
1,"Apple","Seattle WA","2019-04",76345.45
1,"Apple","San Francisco CA","2019-04",100263.83
2,"Meta","San Francisco CA","2019-04",101778.26
2,"Meta","New York NY","2019-04",92061.54
2,"Meta","Seattle WA","2019-04",83918.18
4,"Amazon","Seattle WA","2019-04",97393.55
4,"Amazon","San Francisco CA","2019-04",95625.0
4,"Amazon","New York NY","2019-04",104303.23
1,"Apple","New York NY","2019-05",95400.0
1,"Apple","Seattle WA","2019-05",76200.0
1,"Apple","San Francisco CA","2019-05",100776.0
2,"Meta","San Francisco CA","2019-05",103873.47
2,"Meta","Seattle WA","2019-05",83866.67
2,"Meta","New York NY","2019-05",92285.71
4,"Amazon","New York NY","2019-05",102637.5
4,"Amazon","San Francisco CA","2019-05",94471.43
4,"Amazon","Seattle WA","2019-05",98600.0
1,"Apple","Seattle WA","2019-06",76062.86
1,"Apple","New York NY","2019-06",97037.84
1,"Apple","San Francisco CA","2019-06",101200.0
2,"Meta","San Francisco CA","2019-06",105000.0
2,"Meta","Seattle WA","2019-06",83595.65
2,"Meta","New York NY","2019-06",94904.35
4,"Amazon","New York NY","2019-06",97750.0
4,"Amazon","Seattle WA","2019-06",95200.0
4,"Amazon","San Francisco CA","2019-06",96786.67
1,"Apple","Seattle WA","2019-07",75259.46
1,"Apple","New York NY","2019-07",97815.38
1,"Apple","San Francisco CA","2019-07",100542.86
2,"Meta","New York NY","2019-07",92004.0
2,"Meta","San Francisco CA","2019-07",104157.69
2,"Meta","Seattle WA","2019-07",83553.19
4,"Amazon","San Francisco CA","2019-07",96786.67
4,"Amazon","Seattle WA","2019-07",93107.69
4,"Amazon","New York NY","2019-07",96094.74
1,"Apple","New York NY","2019-08",96900.0
1,"Apple","Seattle WA","2019-08",75629.27
1,"Apple","San Francisco CA","2019-08",100542.86
2,"Meta","San Francisco CA","2019-08",104501.89
2,"Meta","New York NY","2019-08",90426.92
2,"Meta","Seattle WA","2019-08",83265.31
4,"Amazon","San Francisco CA","2019-08",97962.5
4,"Amazon","Seattle WA","2019-08",94904.35
4,"Amazon","New York NY","2019-08",95200.0
1,"Apple","New York NY","2019-09",96900.0
1,"Apple","Seattle WA","2019-09",76014.29
1,"Apple","San Francisco CA","2019-09",100542.86
2,"Meta","San Francisco CA","2019-09",106080.0
2,"Meta","Seattle WA","2019-09",85272.0
2,"Meta","New York NY","2019-09",91800.0
4,"Amazon","New York NY","2019-09",91800.0
4,"Amazon","Seattle WA","2019-09",93287.5
