,author_id,created_at,edit_history_tweet_ids,id,lang,text,retweet_count,reply_count,like_count,quote_count,impression_count,has_image,name
0,155659213,2022-01-02 17:55:48+00:00,[1477700166236921861],1.4777e+18,en,Enjoyed being the world's first mask-changing footballer warrior. Exclusive BTS and how it is made possible with advanced technology. @ZujuGP is giving away a shirt I signed to a subscriber. Sign up at https://t.co/KUzDXijhQw to watch the full video and know how to participate! https://t.co/m5FXlWETsw,21361,18135,315094,2726,0,True,Ronaldo
99,155659213,2022-01-11 11:25:30+00:00,[1480863436292694025],1.48086e+18,en,Good morning 🏃🏻‍♂️☀️😀 https://t.co/SHjiA8NbCX,19450,10014,504803,2975,0,True,Ronaldo
98,155659213,2022-01-17 13:59:21+00:00,[1483076476996136961],1.48308e+18,en,The winners are…. 🤷🏽‍♂️😅 💪🏽 https://t.co/7uvKYEyKoC,15346,6342,323553,3866,0,True,Ronaldo
97,155659213,2022-01-19 22:38:01+00:00,[1483931781938221061],1.48393e+18,en,3 important points! well done lads 💪🏽👏🏽 https://t.co/nzPNhrdIAi,14894,4776,254983,757,0,True,Ronaldo
96,155659213,2022-01-25 13:44:03+00:00,[1485971731697344518],1.48597e+18,en,Enjoy the view 😎 https://t.co/w78enMjxPH,18048,6688,391166,2710,0,True,Ronaldo
95,155659213,2022-01-26 14:10:09+00:00,[1486340689298403332],1.48634e+18,en,Proud Dad ❤️🙏🏽 https://t.co/v8gw3KVyqM,21705,6603,518486,1675,0,True,Ronaldo
94,155659213,2022-01-28 22:06:56+00:00,[1487185450871803909],1.48719e+18,en,Thrilled to join the football gaming revolution with @UFLgame bringing the new #fairtoplay experience to football gamers worldwide! See you in the Game soon! https://t.co/RwhgcrRotJ,4768,1703,69490,301,0,True,Ronaldo
93,155659213,2022-01-29 09:30:33+00:00,[1487357487867215874],1.48736e+18,en,Thanks for everything @dubai 👏🏽 #alwaystogether https://t.co/2B7bFJODwA,16089,4299,294244,638,0,True,Ronaldo
92,155659213,2022-01-30 12:20:05+00:00,[1487762541195542532],1.48776e+18,en,Present and future 😀💪🏽 https://t.co/Cr6z0VNQmI,49386,7783,633990,3610,0,True,Ronaldo
91,155659213,2022-02-05 22:50:38+00:00,[1490095552243109892],1.4901e+18,en,"Life is a roller coaster. Hard work, high speed, urgent goals, demanding expectations… But in the end, it all comes down to family, love, honesty, friendship, values that make it all worth it. Thanks for all the messages! 37 and counting! ❤️🙏🏽 https://t.co/AoUgFiqVEy",33752,11248,462078,4982,0,True,Ronaldo
